source,source_bytes,variant,variant_width,variant_height,variant_bytes,saving_vs_source_pct
assets/images/about-interior.webp,52362,assets/images/about-interior-720.webp,720,600,18040,65.5
assets/images/ceremony-intro-real.webp,157634,assets/images/ceremony-intro-real-720.webp,720,540,35800,77.3
assets/images/gallery-2.webp,61636,assets/images/gallery-2-720.webp,720,524,27068,56.1
assets/images/hero-poster.webp,124814,assets/images/hero-poster-960.webp,960,540,34814,72.1
assets/images/hero-poster.webp,124814,assets/images/hero-poster-1440.webp,1440,810,60908,51.2
assets/images/real-corner.webp,127616,assets/images/real-corner-720.webp,720,540,31396,75.4
assets/images/real-hall.webp,137230,assets/images/real-hall-720.webp,720,540,34576,74.8
assets/images/tea-beginner.webp,132290,assets/images/tea-beginner-720.webp,720,540,34278,74.1
assets/images/tea-category-author-tea-real.webp,156148,assets/images/tea-category-author-tea-real-640.webp,640,399,43550,72.1
assets/images/tea-category-bubble-tea-real.webp,125010,assets/images/tea-category-bubble-tea-real-640.webp,640,399,34024,72.8
assets/images/tea-category-dark-oolong-real.webp,159246,assets/images/tea-category-dark-oolong-real-640.webp,640,399,48756,69.4
assets/images/tea-category-gaba-real.webp,224888,assets/images/tea-category-gaba-real-640.webp,640,399,69104,69.3
assets/images/tea-category-hei-cha-real.webp,207828,assets/images/tea-category-hei-cha-real-640.webp,640,399,60400,70.9
assets/images/tea-category-lemonades-real.webp,137374,assets/images/tea-category-lemonades-real-640.webp,640,399,37940,72.4
assets/images/tea-category-light-oolong-real.webp,152994,assets/images/tea-category-light-oolong-real-640.webp,640,399,47840,68.7
assets/images/tea-category-red-tea-real.webp,148086,assets/images/tea-category-red-tea-real-640.webp,640,399,45652,69.2
assets/images/tea-category-sheng-puer-real.webp,221736,assets/images/tea-category-sheng-puer-real-640.webp,640,399,66230,70.1
assets/images/tea-category-shu-puer-real.webp,116986,assets/images/tea-category-shu-puer-real-640.webp,640,399,34060,70.9
assets/images/tea-category-white-real.webp,127272,assets/images/tea-category-white-real-640.webp,640,399,37842,70.3
assets/images/tea-category-yellow-tea-real.webp,147946,assets/images/tea-category-yellow-tea-real-640.webp,640,399,46734,68.4
