file,production_path,title,title_chars,description_chars,robots,canonical_preview,og_url_preview,sitemap_preview,schema_types
404.html,/404/,404 - Я Бао Завари,18,20,"noindex,follow",,,no,
about.html,/about/,"О чайной Я Бао Завари в Челябинске - Кирова, 94",47,120,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/about.html,https://neotwalker.github.io/Ya-bao-v3/about.html,yes,BreadcrumbList | CafeOrCoffeeShop | ImageObject | ListItem | PostalAddress | WebPage | WebSite
article.html,— template only,Как выбрать китайский чай - Я Бао Завари,40,131,"noindex,follow",https://neotwalker.github.io/Ya-bao-v3/article.html,https://neotwalker.github.io/Ya-bao-v3/article.html,no,BreadcrumbList | ListItem | WebPage
blog-belyy-chay.html,/blog/belyy-chay/,Как заваривать белый чай: температура и проливы - Я Бао Завари,62,133,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-belyy-chay.html,https://neotwalker.github.io/Ya-bao-v3/blog-belyy-chay.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-chaynaya-ceremoniya.html,/blog/chaynaya-ceremoniya/,Как проходит чайная церемония - Я Бао Завари,44,131,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-chaynaya-ceremoniya.html,https://neotwalker.github.io/Ya-bao-v3/blog-chaynaya-ceremoniya.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-chto-takoe-gaba.html,/blog/chto-takoe-gaba/,Что такое Габа чай: как его делают и чем он отличается - Я Бао Завари,69,157,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-chto-takoe-gaba.html,https://neotwalker.github.io/Ya-bao-v3/blog-chto-takoe-gaba.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-chto-takoe-puer.html,/blog/chto-takoe-puer/,Что такое пуэр: простыми словами о шэн и шу - Я Бао Завари,58,140,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-chto-takoe-puer.html,https://neotwalker.github.io/Ya-bao-v3/blog-chto-takoe-puer.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-chto-takoe-ulun.html,/blog/chto-takoe-ulun/,"Что такое улун: как делают, чем отличаются светлые и тёмные улуны - Я Бао Завари",80,148,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-chto-takoe-ulun.html,https://neotwalker.github.io/Ya-bao-v3/blog-chto-takoe-ulun.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-kak-vybrat-kitayskiy-chay.html,/blog/kak-vybrat-kitayskiy-chay/,Как выбрать китайский чай: гид для новичка - Я Бао Завари,57,145,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kak-vybrat-kitayskiy-chay.html,https://neotwalker.github.io/Ya-bao-v3/blog-kak-vybrat-kitayskiy-chay.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-kak-zavarivat-chay-prolivami.html,/blog/kak-zavarivat-chay-prolivami/,"Как заваривать чай проливами: гайвань, время и температура - Я Бао Завари",73,154,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-chay-prolivami.html,https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-chay-prolivami.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-kak-zavarivat-da-hun-pao.html,/blog/kak-zavarivat-da-hun-pao/,Как заваривать Да Хун Пао: температура и проливы - Я Бао Завари,63,144,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-da-hun-pao.html,https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-da-hun-pao.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-kak-zavarivat-gaba.html,/blog/kak-zavarivat-gaba/,"Как заваривать Габа чай: температура, пропорции и проливы - Я Бао Завари",72,154,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-gaba.html,https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-gaba.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-kak-zavarivat-puer.html,/blog/kak-zavarivat-puer/,Как заваривать пуэр: общая схема для Шу и Шэна - Я Бао Завари,61,146,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-puer.html,https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-puer.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-kak-zavarivat-shen-puer.html,/blog/kak-zavarivat-shen-puer/,"Как заваривать Шэн пуэр: температура, пропорции и проливы - Я Бао Завари",72,157,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-shen-puer.html,https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-shen-puer.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-kak-zavarivat-shu-puer.html,/blog/kak-zavarivat-shu-puer/,"Как заваривать Шу пуэр: пропорции, температура и проливы - Я Бао Завари",71,134,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-shu-puer.html,https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-shu-puer.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-kak-zavarivat-ulun.html,/blog/kak-zavarivat-ulun/,"Как заваривать улун: температура, пропорции и проливы - Я Бао Завари",68,159,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-ulun.html,https://neotwalker.github.io/Ya-bao-v3/blog-kak-zavarivat-ulun.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
blog-kuda-shodit-na-kirovke-chelyabinsk.html,/blog/kuda-shodit-na-kirovke-chelyabinsk/,Куда сходить на Кировке в Челябинске - Я Бао Завари,51,151,"index,follow,max-image-preview:large",https://neotwalker.github.io/Ya-bao-v3/blog-kuda-shodit-na-kirovke-chelyabinsk.html,https://neotwalker.github.io/Ya-bao-v3/blog-kuda-shodit-na-kirovke-chelyabinsk.html,yes,Article | BreadcrumbList | ListItem | Organization | WebPage | WebSite
